== bua-kandidaten --jaar 2026 --detail (lees-only, kantoorbreed) ==
BUA-kandidaten — 78 administratie(s), boekjaar 2026 (lees-only; kenmerk = `btw_aftrek_uitgesloten`; module = geboekte inkoopfacturen op factuurdatum, bank = geboekte bank-direct-boekingen op boekmoment)
code  rekening                                   adm kenm rlz0 mod_n  mod_netto  mod_btw bank_n bank_netto bank_btw  advies
4014  Kantinekosten                               74    0   74     0       0.00     0.00      0       0.00     0.00  beoordelen — BUA-kantineregeling: aftrek wél, correctie aan het jaareinde bij bevoordeling > € 227 — het kenmerk zet altijd álle btw in de kosten (te conservatief)
4503  Kosten promotie/sponsoring                  74    0   74     0       0.00     0.00      0       0.00     0.00  niet_zetten — zakelijke reclamekosten, btw aftrekbaar; alleen het geschenkdeel valt onder het BUA
4508  Relatiegeschenken (beperkt aftrekbaar)      75    0   75     0       0.00     0.00      0       0.00     0.00  zetten — BUA: btw op representatie/relatiegeschenken is niet aftrekbaar boven € 227 per begunstigde per jaar; horeca-deel nooit aftrekbaar (art. 15 lid 5 Wet OB)
4510  Representatiekosten (beperkt aftrekbaar)    74    0   74     2      34.45     0.00      1    -260.00     0.00  zetten — BUA: btw op representatie/relatiegeschenken is niet aftrekbaar boven € 227 per begunstigde per jaar; horeca-deel nooit aftrekbaar (art. 15 lid 5 Wet OB)
DETAIL per administratie
administratie                     code  rekening                                  kenm rlz-default           historie               mod_n  mod_netto  mod_btw bank_n bank_netto bank_btw
6-Steps Projectbeheersing         4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
6-Steps Projectbeheersing         4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
6-Steps Projectbeheersing         4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
6-Steps Projectbeheersing         4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
A.Y. Holding 2 B.V.               4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
A.Y. Holding 2 B.V.               4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
A.Y. Holding 2 B.V.               4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
A.Y. Holding 2 B.V.               4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
A.Y. Holding BV                   4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
A.Y. Holding BV                   4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
A.Y. Holding BV                   4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
A.Y. Holding BV                   4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
ARVUM B.V.                        4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
ARVUM B.V.                        4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
