# STAP-0 24-09 — RLZ-rekenregel btw per document (lees-only, nameting.sh rlz-lezen, GET op de gedeployde job-image 1995edd)
# label: V-<verkoopnr> = doorbelasting-verkoop Kempen Facilities (SalesInvoices/{guid}); S-<verkoopnr> = spiegel-inkoop in het doel (PurchaseInvoices/{guid});
#        I-<adm>-<boekstuk> = gewone module-inkoopfactuur (PurchaseInvoices/{uuid5}). Percentages: doorbelasting = vlak 21 % (instelling), inkoop = taxrate_cache van de module.
# H1 = document-btw == Σ per tarief round_half_up(Σ netto × pct); grootste_regel = elke regel round_half_up(netto × pct), de grootste regel (|netto|, eerste bij gelijk) draagt het verschil.
label	n_regels	netto_per_regel	taxamount_rlz_per_regel	TotalNetAmount	TotalTaxAmount	TotalPayableAmount	H1_klopt	grootste_regel_klopt	grootste_rest_klopt	eerste_regel_klopt	half_case	ons_btw	rlz_min_ons_ct	rlz_incl_min_factuur_ct
I-BLOw-RLZ-04-00000358	1	37.65	3.4	37.65	3.4	41.05	None	None	None	None	None	3.40	0	0
I-BLOw-RLZ-04-00000375	2	40.07|2.74	8.41|0.25	42.81	8.66	51.47	True	True	True	True	False	8.66	0	-1
I-BLOw-RLZ-04-00000379	2	199.74|50.4	17.98|0.0	250.14	17.98	268.12	None	None	None	None	None	17.98	0	0
I-BLOw-RLZ-04-00000386	2	8.21|1.28	1.72|0.12	9.49	1.84	11.33	True	True	True	True	False	1.85	-1	0
I-BLOw-RLZ-04-00000388	2	218.27|39.6	19.64|0.0	257.87	19.64	277.51	None	None	None	None	None	19.64	0	0
I-BLOw-RLZ-04-00000395	2	198.44|32.4	17.86|0.0	230.84	17.86	248.7	None	None	None	None	None	17.86	0	0
I-BLOw-RLZ-04-00000398	2	8.09|4.5	0.73|0.0	12.59	0.73	13.32	None	None	None	None	None	0.73	0	0
I-BLOw-RLZ-04-00000402	2	19.98|1.29	1.8|0.27	21.27	2.07	23.34	True	True	True	True	False	2.07	0	0
I-BLOw-RLZ-04-00000405	2	42.8|5.94	8.99|0.53	48.74	9.52	58.26	True	True	True	True	False	9.52	0	-1
I-BLOw-RLZ-04-00000407	2	356.92|64.8	32.12|0.0	421.72	32.12	453.84	None	None	None	None	None	32.12	0	0
I-BLOw-RLZ-04-00000410	2	177.66|20.79	37.3|4.37	198.45	41.67	240.12	True	True	False	True	False	41.68	-1	-1
I-BLOw-RLZ-04-00000415	2	34.95|10.5	3.15|0.0	45.45	3.15	48.6	None	None	None	None	None	3.15	0	0
I-BLOw-RLZ-04-00000417	2	1059.72|190.8	95.37|0.0	1250.52	95.37	1345.89	None	None	None	None	None	95.37	0	0
